Lucky Star 1,Lucky Star 2,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2,4,21,26,28,40,41
3,9,18,20,22,33,43
2,9,21,29,31,34,43
4,5,6,20,22,24,45
2,7,9,11,13,21,32
5,7,2,6,14,19,23
5,8,3,23,24,34,35
2,5,10,15,31,41,42
8,11,12,14,21,45,48
2,11,5,14,36,40,42
3,4,10,20,21,26,33
10,12,1,7,24,41,48
5,6,4,5,35,37,43
8,11,21,23,32,40,49
5,10,16,17,34,35,44
6,7,2,9,23,32,40
9,12,23,25,30,44,47
6,10,3,5,9,32,43
3,5,4,6,10,13,34
3,6,8,9,33,35,40
1,3,15,20,31,44,48
7,11,25,27,35,40,45
6,9,7,32,33,34,38
6,12,5,7,11,27,37
7,10,7,31,33,35,36
1,9,4,12,34,35,45
5,6,5,8,29,35,48
4,9,2,11,28,42,48
4,8,2,11,12,19,38
2,8,14,17,23,36,44
7,10,1,6,25,29,36
1,7,17,22,23,27,44
10,11,1,3,11,33,46
5,6,11,17,28,32,35
9,11,7,26,34,41,44
5,6,15,16,21,41,50
11,12,18,26,36,41,50
2,10,13,21,32,39,50
10,11,3,12,15,25,43
2,8,27,29,32,33,47
1,7,15,25,37,38,41
2,11,5,6,14,23,34
3,9,18,27,34,41,49
4,11,4,6,9,14,37
4,6,9,10,13,39,44
7,9,13,17,21,28,46
3,7,3,8,18,34,49
7,8,7,32,44,47,48
1,10,11,13,16,23,34
1,12,10,29,30,40,45
2,8,7,8,18,33,42
10,11,17,21,23,35,37
6,7,4,11,37,44,49
2,10,10,14,16,19,29
6,12,5,26,28,36,46
3,8,10,16,31,33,50
5,10,16,18,28,34,47
9,10,16,21,34,36,44
6,10,5,12,25,36,46
2,3,1,9,20,29,32
8,11,5,15,26,37,49
11,12,16,26,28,31,46
2,7,9,16,37,38,48
6,11,11,13,24,35,50
10,11,3,6,8,24,50
5,10,12,29,33,37,47
1,3,7,23,34,42,48
2,7,21,22,34,41,49
1,9,8,23,27,42,45
2,3,24,26,38,43,46
3,8,3,13,25,36,47
3,9,2,8,34,44,47
3,10,2,14,17,32,45
3,7,7,12,19,33,43
10,12,8,9,15,19,31
7,11,11,27,41,43,47
7,11,3,6,13,40,42
2,6,18,21,30,46,50
5,10,4,13,25,33,37
3,10,11,13,34,40,42
4,12,16,31,35,44,45
3,10,20,21,29,45,46
1,9,17,34,42,47,48
3,5,19,31,33,34,43
5,11,16,17,23,26,35
4,5,1,11,17,20,27
2,7,2,15,19,35,44
10,11,3,9,12,26,30
1,3,8,27,31,46,50
8,12,12,20,25,26,27
6,11,12,21,35,39,45
8,12,15,20,24,35,38
2,6,19,21,35,37,39
3,11,21,22,24,29,42
1,11,13,16,19,35,41
1,12,13,21,24,31,33
2,10,2,19,24,25,44
1,8,3,5,32,33,50
2,3,2,11,37,45,47
1,6,19,37,42,47,48
1,11,14,16,21,28,35
1,3,4,20,21,34,44
3,8,14,15,22,35,48
3,12,11,21,23,32,48
3,4,10,27,36,45,49
1,11,9,12,15,40,47
4,9,17,23,24,26,27
4,5,7,10,22,29,44
3,12,7,12,13,20,45
1,4,4,6,10,15,19
11,12,22,23,25,38,44
2,3,19,26,31,39,48
2,6,2,9,13,19,38
7,8,10,14,25,32,39
6,10,14,17,34,35,42
5,11,18,19,21,27,47
8,10,3,29,33,35,44
8,11,7,18,28,40,48
3,8,3,23,38,43,48
1,9,3,5,17,25,27
4,11,16,18,29,32,50
2,12,6,23,27,40,41
7,10,9,17,29,38,39
6,11,14,18,24,25,50
4,7,28,31,35,43,46
3,6,7,10,25,45,48
3,12,6,18,24,34,46
2,11,10,35,42,47,48
8,12,10,17,28,44,50
8,10,6,23,36,39,47
7,11,19,21,22,31,38
3,11,2,7,27,34,40
9,12,17,26,36,37,40
2,6,6,16,17,25,31
9,11,12,28,29,34,48
3,9,3,10,13,42,49
3,5,15,23,28,34,48
2,10,10,13,27,36,37
3,9,8,22,23,32,50
5,11,5,28,30,48,49
4,8,3,11,17,45,48
4,9,3,25,27,28,29
3,11,3,8,18,24,40
3,8,8,20,26,47,48
3,7,10,11,20,36,37
8,11,4,25,28,34,45
1,9,6,11,21,35,36
6,10,2,12,17,28,46
5,6,6,24,30,32,48
2,10,21,30,31,35,47
4,11,1,15,16,38,45
5,6,1,11,13,24,49
4,10,2,7,21,31,45
6,11,8,11,33,42,43
5,12,6,10,24,27,29
8,11,7,17,21,29,40
6,12,1,9,14,17,43
2,8,1,2,12,19,26
2,6,12,19,22,23,48
2,9,12,18,21,25,31
10,12,6,20,40,42,43
3,5,8,24,26,39,42
1,5,10,13,24,30,42
3,7,5,9,14,26,32
6,10,25,38,41,43,50
2,12,9,20,31,33,44
7,11,13,18,38,42,45
7,10,6,20,34,37,43
3,7,3,25,38,43,49
6,9,1,19,36,38,49
9,10,10,25,29,34,45
2,4,6,16,18,39,47
7,12,5,14,35,36,39
2,5,3,12,19,24,30
